ID ученика,Возраст,Создан,ID группы,Записан в группу,Преподаватель,Всего запланировано уроков в группе,Прошло уроков в группе,Старт группы,Последний визит,Посещаемость,Отчислен,Тип курса
217013,,28/03/19,21712,28/03/19,Олег,32,4,25/03/19,15/04/19,"0,1,1,1",,8-12
216066,8,25/03/19,21712,25/03/19,Олег,32,4,25/03/19,,"0,0,0,0",25/03/19,8-12
216052,10,25/03/19,21712,25/03/19,Олег,32,4,25/03/19,08/04/19,"1,1,1,0",,8-12
216044,11,25/03/19,21712,25/03/19,Олег,32,4,25/03/19,15/04/19,"1,1,1,1",,8-12
214869,7,21/03/19,21712,21/03/2019,Олег,32,4,25/03/19,01/04/19,"1,1,0,0",09/04/19,8-12
214194,7,19/03/19,21712,26/03/2019,Олег,32,4,25/03/19,15/04/19,"0,1,0,1",,8-12
210626,5,13/03/19,21712,21/03/2019,Олег,32,4,25/03/19,,"0,0,0,0",26/03/19,8-12
210620,8,13/03/19,21712,19/03/2019,Олег,32,4,25/03/19,16/04/19,"1,1,1,1",,8-12
207907,10,06/03/19,21712,19/03/2019,Олег,32,4,25/03/19,15/04/19,"1,1,1,1",,8-12
207320,,04/03/19,21583,04/03/2019,Николай,32,1,03/03/19,04/03/19,0,,5-7
207319,,04/03/19,21583,04/03/2019,Николай,32,1,03/03/19,04/03/19,0,,5-7
207009,,03/03/19,21583,03/03/2019,Николай,32,1,03/03/19,03/03/19,1,,5-7
206620,10,02/03/19,17441,11/03/2019,Мария ,32,13,23/01/19,10/04/19,"0,0,0,0,0,0,0,1,1,1,1,1,0",18/04/19,8-12
205753,8,28/02/19,21712,05/03/2019,Олег,32,4,25/03/19,19/04/19,"1,1,1,1",,8-12
205328,10,27/02/19,21094,07/03/2019,Олег,32,6,11/03/19,01/04/19,"1,1,1,0,0",17/04/19,8-12
205297,9,27/02/19,21094,05/03/2019,Олег,32,6,11/03/19,01/04/19,"1,1,1,0,0",08/04/19,8-12
205173,10,27/02/19,21094,05/03/19,Олег,32,6,11/03/19,04/03/19,"0,0,0,0,0",21/03/19,8-12
205170,10,27/02/19,21094,05/03/19,Олег,32,6,11/03/19,22/04/19,"0,1,1,1,1",,8-12
204672,9,25/02/19,21094,05/03/19,Олег,32,6,11/03/19,08/04/19,"0,1,1,1,0",,8-12
204668,12,25/02/19,21712,"43,531.00",Олег,32,4,25/03/19,15/04/19,"1,1,0,1",,8-12
204662,9,25/02/19,21094,"43,545.00",Олег,32,6,11/03/19,22/04/19,"0,0,1,1,1",,8-12
203218,11,21/02/19,21094,07/03/19,Олег,32,6,11/03/19,22/04/19,"1,1,1,0,1",,8-12
202472,10,19/02/19,21094,25/02/19,Олег,32,6,11/03/19,22/04/19,"1,1,1,1,1",,8-12
199906,9,11/02/19,21094,21/02/19,Олег,32,6,11/03/19,22/04/19,"1,0,0,1,1",,8-12
196398,12,01/02/19,21712,07/03/19,Олег,32,4,25/03/19,02/02/19,"0,0,0,0",21/03/19,8-12
193001,10,24/01/19,21094,21/02/19,Олег,32,6,11/03/19,22/04/19,"1,1,1,1,1",,8-12
192639,9,23/01/19,17441,23/01/19,Мария ,32,13,23/01/19,,"0,0,0,0,0,0,0,0,0,0,0,0,0",30/01/19,8-12
189193,10,14/01/19,19532,14/01/19,Мария ,32,11,29/01/19,12/02/19,"1,1,1,0,0,0,0,0,0,0,0",25/02/19,8-12
189192,10,14/01/19,19532,14/01/19,Мария ,32,11,29/01/19,12/02/19,"1,1,1,0,0,0,0,0,0,0,0",19/02/19,8-12
188251,8,11/01/19,19532,17/01/19,Мария ,32,11,29/01/19,16/04/19,"1,1,1,1,1,1,1,1,1,1,1",,8-12
188249,10,11/01/19,19532,"43,482.00",Мария ,32,11,29/01/19,16/04/19,"1,1,1,1,1,1,1,1,1,1,1",,8-12
188179,23,11/01/19,19532,"43,482.00",Мария ,32,11,29/01/19,11/04/19,"1,0,0,1,1,0,0,0,1,1,0",,8-12
188164,7,11/01/19,19532,"43,482.00",Мария ,32,11,29/01/19,24/01/19,"0,0,0,0,0,0,0,0,0,0,0",28/01/19,8-12
171790,10,03/12/18,17441,03/12/18,Мария ,32,13,23/01/19,,"0,0,0,0,0,0,0,0,0,0,0,0,0",20/01/19,8-12
171772,7,03/12/18,17441,18/12/18,Мария ,32,13,23/01/19,08/12/18,"0,0,0,0,0,0,0,0,0,0,0,0,0",20/01/19,8-12
170611,8,29/11/18,21712,26/03/19,Олег,32,4,25/03/19,,"0,0,0,0",02/04/19,8-12
168114,8,22/11/18,16270,13/03/19,Олег,32,19,10/11/18,30/03/19,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0",,8-12
166691,8,19/11/18,16270,11/03/19,Олег,32,19,10/11/18,20/04/19,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1",,8-12
165341,8,15/11/18,16270,11/03/19,Олег,32,19,10/11/18,22/04/19,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1",,8-12
165305,10,15/11/18,16270,15/11/18,Олег,32,19,10/11/18,20/04/19,"0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",,8-12
162999,7,08/11/18,17441,15/11/18,Мария ,32,13,23/01/19,17/04/19,"1,1,0,0,0,1,1,1,1,1,1,1,1",,8-12
161980,10,06/11/18,17441,06/02/19,Мария ,32,13,23/01/19,17/04/19,"0,0,0,1,1,1,1,1,1,1,1,1,1",,8-12
161940,10,06/11/18,17441,14/01/19,Мария ,32,13,23/01/19,,"0,0,0,0,0,0,0,0,0,0,0,0,0",30/01/19,8-12
161938,11,06/11/18,16270,06/11/18,Олег,32,19,10/11/18,26/01/19,"0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0",02/02/19,8-12
